,Unnamed: 0,UDI,Machine_Id,Machine_type,Air_Temp_K,Process_Temp_K, Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Machine_Failure,Tool_Wear_Failure,Heat_Dissipation_Failure,Power_Failure,Overstrain_Failure,Random_Failure,temperature_diff,Total_failure_count,Torque_Category,RPM_type,Tool_Wear_type,High_Risk_flag
0,0,1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
1,1,2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0,High,Medium,Low,No
2,2,3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,0,High,Medium,Low,No
3,3,4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0,Medium,Medium,Low,No
4,4,5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
5,5,6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
6,6,7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
7,7,8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
8,8,9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,0,Medium,High,Low,No
9,9,10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0,Medium,High,Low,No
10,10,11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0,Low,High,Low,No
11,11,12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
12,12,13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0,High,Medium,Low,No
13,13,14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0,Medium,High,Low,No
14,14,15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0,Low,High,Low,No
15,15,16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0,High,Medium,Low,No
16,16,17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0,High,Medium,Low,No
17,17,18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0,High,Medium,Low,No
18,18,19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,0,High,Medium,Low,No
19,19,20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0,Medium,Medium,Low,No
20,20,21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0,Medium,Medium,Low,No
21,21,22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0,Medium,Medium,Low,No
22,22,23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0,Medium,Medium,Low,No
23,23,24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,0,High,High,Low,No
